Gene id	MeanTPM (G45A-OE)	MeanTPM (CON)	log2FoldChange	pValue	qValue	result
ABCF2	22.739318	33.227928	-0.547207348	8.44E-11	6.87E-10	-
ABCF3	10.523395	13.95236	-0.406908956	1.39E-08	8.72E-08	-
ABCG1	22.897845	8.735258333	1.390289553	6.73E-38	5.17E-36	up
ABCG2	3.900354667	2.540240333	0.618640319	0.012369427	0.029538584	-
ABCG4	1.985572667	0.464121	2.096982279	7.58E-17	1.11E-15	-
ABCG5	0.132442	0.056324	1.233539002	0.108879237	0.193385862	-
ABCG8	0.046555	0.018377667	1.340982516	0.49023624	0.625343166	-
ABHD1	5.979472667	2.224693	1.426411995	1.93E-09	1.35E-08	up
ABHD10	4.203792667	4.374933667	-0.057569626	0.477157377	0.614234847	-
ABHD11	156.169276	185.461909	-0.248012258	1.14E-05	4.88E-05	-
ABHD12	108.7310663	118.734337	-0.126973009	0.004039168	0.010840501	-
ABHD12B	0.187405333	0.208889667	-0.156579116	0.692767766	0.796066069	-
ABHD13	14.67855567	11.15913	0.395485463	0.00514197	0.013448393	-
ABHD14A	17.08813833	11.60628167	0.558089385	6.29E-05	0.000239642	-
ABHD14B	30.573133	27.65448333	0.144751012	0.327814222	0.464246984	-
ABHD15	0.115705667	0.185611667	-0.681827872	0.124209975	0.215672304	-
ABHD16A	12.86360567	17.65212233	-0.456546564	0.000105567	0.000387105	-
ABHD16B	0.082285333	0.12328	-0.583231557	0.551015528	0.67812637	-
ABHD17A	143.676214	156.3437853	-0.121900634	0.005109886	0.013371828	-
ABHD17B	13.99623167	8.236355333	0.764960472	5.47E-07	2.79E-06	-
ABHD17C	18.38588833	23.49554433	-0.353788308	2.96E-06	1.37E-05	-
ABHD18	8.478649333	4.625500333	0.874225031	4.80E-09	3.19E-08	-
ABHD2	15.12851333	8.145063333	0.8932724	3.37E-16	4.63E-15	-
ABHD3	28.48218667	24.60489	0.211114844	0.328992799	0.465569691	-
ABHD4	60.30708567	36.325011	0.731364284	9.60E-13	9.55E-12	-
ABHD5	7.863277333	4.304867667	0.869161849	4.75E-05	0.000185285	-
ABHD6	15.12019133	10.38958267	0.541338691	0.000565021	0.001803349	-
ABHD8	13.631328	12.357329	0.141559177	0.776989631	0.859269851	-
ABI1	50.68282067	49.68613433	0.028653515	0.216827943	0.336484584	-
ABI2	9.194211	6.927267	0.408439494	0.66107822	0.771338968	-
ABI3BP	0.271947667	0.170735333	0.671567395	0.154172932	0.257157532	-
ABL1	15.8045	13.32468533	0.24623393	0.212274767	0.330767042	-
ABL2	6.770720333	4.240686667	0.67501144	1.87E-06	8.88E-06	-
ABLIM1	56.44716	29.27127267	0.947415524	3.02E-24	8.39E-23	-
ABLIM2	1.513327667	0.481537	1.652005834	9.64E-09	6.16E-08	-
ABLIM3	12.820186	15.803631	-0.301838873	7.45E-05	0.000280348	-
ABO	1.927464333	1.659583333	0.21588309	0.800749954	0.87584183	-
ABR	25.17283833	35.974547	-0.515108625	8.72E-17	1.27E-15	-
ABRA	0.0001	0.0001	0	1	1	-
ABRACL	191.7226103	160.8340353	0.253447749	0.138769267	0.236007925	-
ABRAXAS1	13.35281233	8.748661667	0.610009389	5.44E-07	2.78E-06	-
ABRAXAS2	7.809387	8.551022333	-0.130887606	0.024854968	0.054594312	-
ABT1	17.35549033	22.518341	-0.375708418	1.37E-05	5.80E-05	-
ABTB1	22.94116833	15.22579333	0.591421465	9.11E-07	4.52E-06	-
ABTB2	15.397759	7.776127	0.985596709	6.44E-21	1.35E-19	-
ACAA1	15.35699967	17.00657633	-0.147196354	0.002176712	0.006181368	-
ACAA2	29.401076	43.884318	-0.577836532	9.55E-11	7.71E-10	-
ACACA	11.15161633	10.33304633	0.109987187	0.887723194	0.93285917	-
ACACB	0.134675667	0.062774	1.10125016	0.062746679	0.121565703	-
ACAD10	6.7268	6.069826333	0.148265125	0.411519629	0.551134605	-
ACAD11	8.215907667	5.806655667	0.500712483	0.002419189	0.00678731	-
ACAD8	20.90618033	17.78774733	0.233045681	0.262749196	0.391378898	-
ACAD9	13.14219667	25.96969	-0.982622356	1.51E-20	3.07E-19	-
ACADL	5.757065	14.944222	-1.376182386	1.32E-19	2.52E-18	down
ACADM	94.97367367	144.9049123	-0.609506939	9.08E-18	1.47E-16	-
ACADS	34.11895733	36.667568	-0.103931023	0.020489514	0.046036106	-
ACADSB	22.90270933	25.834789	-0.173796825	0.000173246	0.000611824	-
ACADVL	65.533549	64.28404367	0.027772982	1.41E-06	6.80E-06	-
ACAN	0.002190333	0.0001	4.453078536	0.643745421	1	-
ACAP1	10.19074433	3.185254667	1.677778802	6.39E-33	3.53E-31	up
ACAP2	19.625924	11.90308667	0.721424842	2.29E-12	2.20E-11	-
ACAP3	14.44924633	17.47687133	-0.274452696	5.07E-06	2.28E-05	-
ACAT1	79.80934133	84.27940867	-0.078622574	0.024699733	0.054303468	-
ACAT2	30.82212367	48.09652333	-0.641966344	1.33E-16	1.90E-15	-
ACBD3	59.04363	31.31965833	0.914712947	7.63E-16	1.01E-14	-
ACBD4	10.09840767	8.228498667	0.295426692	0.142889367	0.241534852	-
ACBD5	29.41228167	23.37331833	0.331556137	0.019407468	0.043936864	-
ACBD6	98.54668167	132.188248	-0.423714724	2.27E-12	2.18E-11	-
ACBD7	0.407986	0.586208667	-0.52289465	0.185723201	0.29752913	-
ACCS	0.251442667	0.189074333	0.411275946	0.683003499	0.789035393	-
ACCSL	1.303810333	0.318621667	2.032817734	2.46E-06	1.15E-05	-
ACD	34.33542767	40.89078667	-0.252077885	0.000152189	0.000543001	-
ACE	4.143184	2.719270667	0.607520133	9.91E-05	0.000365254	-
ACE2	0.511728333	0.270036333	0.92222458	0.067714601	0.129803366	-
ACER1	0.346069667	0.364419	-0.074535687	0.86619619	0.919527326	-
ACER2	2.756564	1.880752	0.551561473	0.087488906	0.161000567	-
ACER3	8.220847333	9.342517	-0.184524182	0.000899574	0.002763628	-
ACHE	2.564783	0.45751	2.486961586	1.10E-13	1.20E-12	-
ACIN1	17.91711167	22.76318333	-0.34536424	6.10E-05	0.000233113	-
ACKR1	0.0001	0.0001	0	1	1	-
ACKR2	0.126547	0.002969	5.413552403	0.008600118	0.021360026	-
ACKR3	40.5392	25.70867733	0.657062231	8.40E-10	6.10E-09	-
ACKR4	0.0001	0.0001	0	1	1	-
ACLY	73.01680767	85.44127167	-0.226704525	5.77E-05	0.000221699	-
ACMSD	0.20111	0.174812333	0.202177847	0.887009129	0.932417648	-
ACO1	86.38793667	124.7301863	-0.529908887	1.10E-19	2.13E-18	-
ACO2	95.77136967	122.7084607	-0.357568386	6.21E-11	5.13E-10	-
ACOD1	0.283930333	0.332908333	-0.229587999	0.753493312	0.841572082	-
ACOT11	7.667618667	7.505669333	0.030797856	0.679601343	0.786348038	-
ACOT12	0.004362667	0.004807667	-0.140126625	0.961363334	1	-
ACOT13	13.564207	11.26485733	0.267975664	0.027897698	0.06050965	-
ACOT6	6.999325	10.018283	-0.517347568	0.000136456	0.000491195	-
ACOT7	74.132388	91.976059	-0.311154397	5.39E-07	2.76E-06	-
ACOT8	25.24171233	16.89998033	0.578788215	0.00066129	0.002086813	-
ACOT9	39.86024333	56.31756967	-0.49863456	3.83E-14	4.35E-13	-
ACOX1	20.17739033	20.18622033	-0.000631212	0.059386811	0.115834403	-
ACOX2	20.974339	20.670864	0.021026654	0.377280066	0.516693723	-
ACOX3	8.119691	13.82838833	-0.768136293	1.71E-16	2.40E-15	-
ACOXL	0.601772333	0.837717667	-0.477246319	0.074565897	0.140809706	-
ACP1	123.5154367	140.4420473	-0.185283575	0.000785057	0.002441759	-
ACP2	3.719594	2.864812333	0.376704523	0.16208551	0.267760056	-
ACP5	12.965957	10.20776933	0.34506106	0.159229009	0.264086799	-
ACP6	39.053748	44.54735067	-0.189878623	0.001068899	0.003241436	-
ACP7	1.388119667	0.184116333	2.914442423	7.13E-15	8.74E-14	-
ACPP	0.0001	0.009199	-6.523405133	0.497939702	1	-
ACPT	83.19577033	74.11770633	0.166691948	0.145072234	0.24450593	-
ACR	0.221529333	0.062593	1.823424513	0.174654617	0.283616332	-
ACRBP	0.173195667	0.034287667	2.3366412	0.056464889	0.110999603	-
ACRV1	0.006463667	0.0001	6.014280895	0.790861922	1	-
ACSBG1	0.122052	0.004620333	4.723355187	0.000696915	0.002191965	-
ACSBG2	0.0001	0.0001	0	1	1	-
ACSF2	47.11861167	64.49729267	-0.452941572	7.30E-11	5.98E-10	-
ACSF3	15.17451767	21.350349	-0.492608993	6.13E-08	3.56E-07	-
ACSL1	18.31860033	23.866435	-0.381673807	0.024403554	0.053720555	-
ACSL3	16.616801	16.33597133	0.024590427	0.634095827	0.748110454	-
ACSL4	18.73507833	22.54397133	-0.266999673	2.98E-05	0.000120464	-
ACSL5	2.826860333	1.025842	1.462392061	8.13E-08	4.63E-07	-
ACSL6	0.208271667	0.137967667	0.594136383	0.380647382	0.52014522	-
ACSM2B	0.0001	0.0001	0	1	1	-
ACSM3	0.477010333	0.275682667	0.791011957	0.177577612	0.286894402	-
ACSM4	0.0001	0.005503667	-5.78232119	0.659806125	1	-
ACSM5	0.0001	0.0001	0	1	1	-
ACSS1	1.767023667	1.487173	0.24874888	0.201956102	0.317941808	-
ACSS2	7.724464	8.431299333	-0.126320152	0.074547438	0.140788817	-
ACSS3	0.092978333	0.070990667	0.389265203	0.613179449	0.730953834	-
ACTA1	0.0001	0.0001	0	1	1	-
ACTA2	0.174845667	0.207103	-0.244266411	0.680203159	0.786791869	-
ACTB	2022.6521	2292.96167	-0.180964044	0.000282347	0.000956654	-
ACTBL2	0.0001	0.0001	0	1	1	-
ACTC1	0.054230333	0.0001	9.082956228	0.153411429	0.256066866	-
ACTG1	9755.767904	9194.831706	0.085432267	0.826778158	0.893672753	-
ACTG2	0.335450333	0.206244667	0.701742364	0.494738398	0.629609836	-
ACTL10	0.570549333	0.113101	2.334739951	5.69E-05	0.000218891	-
ACTL6A	28.69320667	32.844556	-0.194945055	0.003119105	0.008552603	-
ACTL6B	0.09699	0.063991333	0.599959481	0.745483228	0.83609906	-
ACTL7A	0.105015667	0.085461	0.297266468	0.860356409	0.915622052	-
ACTL7B	0.055578	0.019252	1.529505591	0.432050674	0.571474156	-
ACTL8	0.028293667	0.077998333	-1.462964145	0.414763194	0.554644472	-
ACTL9	0.0001	0.0001	0	1	1	-
ACTN1	121.73082	180.708796	-0.569972253	1.89E-22	4.44E-21	-
ACTN2	0.048953667	0.066773333	-0.447855139	0.578404595	0.701805932	-
ACTN3	0.007716	0.091167333	-3.562591929	0.021103758	0.047260004	-
ACTN4	409.0700377	338.8788147	0.271578423	0.005944381	0.015330076	-
ACTR10	71.94449133	66.32173533	0.117402471	0.786791604	0.865964206	-
ACTR1A	94.75511667	101.8716913	-0.104477449	0.007685703	0.019308084	-
ACTR1B	73.67507967	57.08290467	0.368117967	0.002174827	0.00617786	-
ACTR2	127.381139	136.514735	-0.099905003	0.003554376	0.009639201	-
ACTR3	154.3711347	145.445236	0.085926971	0.788809982	0.867317353	-
ACTR3B	11.45127567	10.97398833	0.061420376	0.806695322	0.880277309	-
ACTR5	7.489796333	6.616174	0.178929312	0.403554189	0.543833911	-
ACTR6	19.54772467	23.76634267	-0.281919219	0.001375196	0.00406852	-
ACTR8	7.222401333	5.715544333	0.337587687	0.081000101	0.15113085	-
ACTRT2	0.0001	0.0001	0	1	1	-
ACTRT3	0.016699	0.053760667	-1.686789317	0.267993954	0.39732572	-
ACVR1	16.65441067	6.142584	1.438986717	0.000244684	0.000837842	up
ACVR1B	18.54015233	10.16314833	0.867305709	2.08E-15	2.67E-14	-
ACVR1C	0.0001	0.0001	0	1	1	-
ACVR2A	6.828454	4.140033667	0.721916482	0.000757234	0.00236488	-
ACVR2B	7.674049	3.459622333	1.149373421	0.004055265	0.010876703	up
ACVRL1	3.026176667	2.605427667	0.215976011	0.544685833	0.672772359	-
ACY1	48.29014833	61.2733	-0.343529658	4.78E-07	2.46E-06	-
ACY3	0.275764	0.15709	0.811842786	0.402956328	0.543357076	-
ACYP1	55.16359833	69.699636	-0.337434555	0.000234208	0.000805448	-
ACYP2	25.74077933	28.44389933	-0.144063522	0.03269232	0.069282821	-
ADA	15.14749933	28.821246	-0.928053065	4.69E-18	7.80E-17	-
ADA2	14.67137367	9.407135	0.641176642	2.35E-06	1.10E-05	-
ADAD1	0.0001	0.0001	0	1	1	-
ADAD2	0.159607667	0.055806333	1.516029188	0.150531169	0.252362635	-
ADAL	2.904283333	2.148810333	0.434644058	0.015794666	0.036633541	-
ADAM10	29.96925133	18.546133	0.692364638	3.59E-05	0.000142912	-
ADAM11	4.287376	1.774977333	1.272294345	7.69E-12	7.01E-11	-
ADAM12	0.0001	0.0001	0	1	1	-
ADAM15	64.507833	76.16108733	-0.239579722	0.000138486	0.000498031	-
ADAM17	16.53879733	11.38157567	0.53915403	0.000255625	0.00087201	-
ADAM19	0.126846	0.105260333	0.269116157	0.760303819	0.846747917	-
ADAM2	0.0001	0.0001	0	1	1	-
ADAM22	0.002079333	0.010011	-2.267393135	0.316776035	0.452282615	-
ADAM23	0.0001	0.0001	0	1	1	-
ADAM28	0.007777	0.014352	-0.883966151	0.746129887	1	-
ADAM29	0.0001	0.0001	0	1	1	-
ADAM30	0.0001	0.0001	0	1	1	-
ADAM33	0.281856	0.174290333	0.693465724	0.317613499	0.453138431	-
ADAM3A	0.0001	0.0001	0	1	1	-
ADAM5	0.539622667	0.246268	1.131721773	0.173238448	0.281701166	-
ADAM7	0.0001	0.0001	0	1	1	-
ADAM8	9.715104667	11.33902333	-0.222994938	0.00156359	0.004570476	-
ADAM9	85.62805667	85.8178	-0.003193333	0.215360652	0.334644082	-
ADAMDEC1	0.0001	0.0001	0	1	1	-
ADAMTS1	15.526733	19.06752433	-0.296363239	0.00079828	0.00247924	-
ADAMTS10	0.416559667	0.157586333	1.402380735	0.013365491	0.03160399	-
ADAMTS12	0.0001	0.005874333	-5.876353227	0.325093186	1	-
ADAMTS13	3.722799333	3.151639	0.240285561	0.491994681	0.627100492	-
ADAMTS14	15.73299567	15.78147933	-0.004439052	0.308876505	0.443411972	-
ADAMTS15	0.029427667	0.0001	8.201029345	0.028720991	0.062026783	-
ADAMTS16	0.004246	0.003083667	0.461457548	0.95276608	1	-
ADAMTS17	1.340741333	1.525093667	-0.185866924	0.173388191	0.281872424	-
ADAMTS18	0.0001	0.0001	0	1	1	-
ADAMTS19	0.003241667	0.007157667	-1.142753609	0.672702064	0.781376957	-
ADAMTS2	0.0001	0.002217	-4.470536865	0.709036939	1	-
ADAMTS20	0.0001	0.00282	-4.817623258	0.659806125	1	-
ADAMTS3	0.006841333	0.019358333	-1.500605318	0.383169777	0.523028806	-
ADAMTS4	0.947023333	0.891531333	0.087114469	0.97685363	0.986606976	-
ADAMTS5	0.057278667	0.038227667	0.583380766	0.510739174	0.642899099	-
ADAMTS6	0.382944	0.369551667	0.051357354	0.867810893	0.920368863	-
ADAMTS7	0.657966333	0.349716667	0.911827213	1.57E-05	6.56E-05	-
ADAMTS8	0.092073	0.027424	1.74733914	0.073467132	0.139026549	-
ADAMTS9	0.009929333	0.013895	-0.484797073	0.917750245	0.951499558	-
ADAMTSL1	0.025429	0.031085	-0.28974385	0.740021473	0.832278212	-
ADAMTSL2	2.599798	1.945343	0.418374981	0.074445287	0.140665679	-
ADAMTSL3	0.0001	0.0001	0	1	1	-
ADAMTSL4	68.44062033	32.47611067	1.07547397	5.75E-44	6.11E-42	up
ADAMTSL5	5.794027333	4.451253	0.380354988	0.066023713	0.127018329	-
ADAP1	21.62069967	32.74833333	-0.599008274	1.02E-09	7.31E-09	-
ADAP2	1.749516333	1.611071	0.118936058	0.845546728	0.905178672	-
ADAR	11.19138433	9.952082667	0.169318129	0.405696086	0.546038184	-
ADARB1	2.322968	2.978191333	-0.358467162	0.000974097	0.002972894	-
ADARB2	0.003592	0.004147333	-0.207396655	0.961363334	1	-
ADAT1	3.359184333	3.650561	-0.120007222	0.553810451	0.680555496	-
ADAT2	1.569019333	1.660553	-0.081800641	0.276693589	0.407192179	-
ADAT3	5.159093667	7.704271333	-0.578540874	0.000105789	0.000387769	-
ADCK1	1.161062333	1.871037333	-0.688392918	5.24E-05	0.000202763	-
ADCK2	14.34459533	15.436156	-0.105806259	0.024409109	0.053723424	-
ADCK5	27.722683	26.035312	0.090597193	0.823279582	0.891063106	-
ADCY1	0.028710667	0.022163667	0.373390256	0.732253066	0.826520228	-
ADCY10	0.0001	0.002868667	-4.842308434	0.629730267	1	-
ADCY2	0.0001	0.0001	0	1	1	-
ADCY3	15.75720633	27.59184267	-0.808230032	1.58E-29	6.69E-28	-
ADCY4	2.038360667	2.443474667	-0.261524803	0.034140883	0.071912329	-
ADCY5	0.011988	0.007785333	0.622760273	0.891988523	0.935843109	-
ADCY6	14.38740333	9.065826667	0.666295752	1.30E-09	9.24E-09	-
ADCY7	9.907529333	7.841255	0.337440756	0.016100323	0.037274342	-
ADCY8	0.101547	0.093506	0.119016772	0.940729215	0.966054198	-
ADCY9	2.690029	2.828510333	-0.072420716	0.307155864	0.441527856	-
ADCYAP1	0.0001	0.00967	-6.595443985	0.497939702	1	-
ADCYAP1R1	0.003664667	0.008678333	-1.243736022	0.657506437	0.768160255	-
ADD1	75.91415667	89.95174933	-0.24478239	5.40E-07	2.76E-06	-
ADD2	0.128492	0.085648667	0.585175847	0.441503779	0.580548801	-
ADD3	21.58696667	29.01048467	-0.426413864	4.66E-11	3.90E-10	-
ADGB	0.027516667	0.042460333	-0.625809983	0.476838357	0.613948737	-
ADGRA1	5.596240333	2.467890333	1.181179635	3.24E-12	3.06E-11	up
ADGRA2	0.455945333	0.699618667	-0.617707923	0.009012328	0.022276284	-
ADGRA3	3.707538	8.227507	-1.149993869	8.18E-28	2.99E-26	down
ADGRB1	4.173968333	2.511775667	0.732712036	1.05E-05	4.49E-05	-
ADGRB2	1.909883333	0.44591	2.098660054	3.93E-15	4.94E-14	-
ADGRB3	0.0001	0.0001	0	1	1	-
ADGRD1	0.337282333	0.378678	-0.167014855	0.479653275	0.616322403	-
ADGRD2	0.121496333	0.035972	1.755966496	0.137457961	0.234160755	-
ADGRE1	0.0001	0.0001	0	1	1	-
ADGRE3	0.012763667	0.002569333	2.312576861	0.652624607	1	-
ADGRE5	41.11336267	34.85224233	0.238355895	0.056881136	0.111656432	-
ADGRF1	0.956636667	0.927950333	0.043923499	0.944632796	0.968286767	-
ADGRF2	0.0001	0.004512333	-5.495801741	0.604367485	1	-
ADGRF3	0.277447333	0.055244667	2.328306838	0.000128484	0.000464694	-
ADGRF4	1.609884667	6.248612333	-1.956578501	7.08E-30	3.05E-28	down
ADGRF5	0.725506667	1.365933	-0.912825944	1.57E-05	6.56E-05	-
ADGRG1	111.9458263	73.814845	0.600817848	1.63E-12	1.58E-11	-
ADGRG2	0.100973667	0.096927	0.059008592	0.961462234	0.977379632	-
ADGRG3	0.435472333	0.063242333	2.783618561	3.89E-05	0.000154243	-
ADGRG4	0.0001	0.0001	0	1	1	-
ADGRG5	1.317952667	1.337084	-0.020791545	0.701613679	0.802961362	-
ADGRG6	10.86683467	8.864836333	0.293765867	0.04104438	0.084280946	-
ADGRG7	0.121501667	0.048969667	1.311015823	0.088934259	0.163073271	-
ADGRL1	2.02355	2.164342	-0.097039989	0.24157676	0.36640746	-
ADGRL2	15.69510533	18.46711533	-0.234643816	6.53E-05	0.000248314	-
ADGRL3	0.911172	0.828577	0.13708764	0.77395935	0.856878743	-
ADGRL4	0.110300333	0.037808	1.544673711	0.151089891	0.253146385	-
ADGRV1	0.199128333	0.127825	0.639528486	0.04284499	0.087552805	-
ADH1C	0.0001	0.0001	0	1	1	-
ADH4	13.42207467	7.453544	0.848609224	0.000671389	0.002116576	-
ADH5	77.700203	74.13973767	0.067671357	0.731774069	0.826273544	-
ADHFE1	2.528661	2.618232333	-0.050219485	0.477856166	0.614801766	-
ADI1	28.36566933	69.187397	-1.286363357	3.36E-34	2.05E-32	down
ADIG	1.557069333	0.938169333	0.730912938	0.163480889	0.269588384	-
ADIPOQ	0.0001	0.0001	0	1	1	-
ADIPOR1	81.589002	90.81067667	-0.154487233	0.000311561	0.00104614	-
ADIPOR2	7.426219667	5.694327333	0.383102563	0.116167528	0.203895702	-
ADIRF	0.110660333	0.667975	-2.593655934	0.08155706	0.151976373	-
ADK	33.60712033	50.063361	-0.574988221	2.39E-22	5.57E-21	-
ADM	294.6162413	178.772364	0.720713233	2.22E-17	3.47E-16	-
ADM2	1.692327333	1.786049333	-0.077763286	0.784974831	0.864698837	-
ADM5	14.30055267	9.797488	0.545587097	0.01528485	0.035594216	-
ADNP	11.09253233	13.21586533	-0.252682133	0.001344033	0.003986859	-
ADNP2	8.312976667	5.992022333	0.472322161	0.001600868	0.004670118	-
ADO	13.88538133	16.68191333	-0.26471797	2.22E-05	9.11E-05	-
ADORA1	23.830041	16.756733	0.508040534	0.369805232	0.509167637	-
ADORA2A	6.072701667	1.674949333	1.858221041	2.36E-29	9.88E-28	up
ADORA2B	44.69884867	72.42389433	-0.696228083	5.36E-21	1.12E-19	-
ADORA3	1.019676333	0.739037667	0.464391482	0.356996577	0.496052985	-
ADPGK	11.257922	16.00883133	-0.507927435	7.81E-09	5.05E-08	-
ADPRH	1.079143	1.733357	-0.683682768	0.123391642	0.214498621	-
ADPRHL1	5.102542333	4.533209333	0.170683464	0.781082322	0.862057285	-
ADPRHL2	45.42730733	51.43292233	-0.179132334	0.00121106	0.003632036	-
ADPRM	4.344701	2.279839333	0.930324738	0.177006405	0.286165866	-
ADRA1A	0.0001	0.0001	0	1	1	-
ADRA1B	0.0001	0.0001	0	1	1	-
ADRA1D	1.299798	0.428782333	1.599970063	0.000494356	0.001597091	-
ADRA2A	0.086539667	0.056438333	0.616686179	0.836361627	0.899576766	-
ADRA2B	3.142832667	0.862856333	1.864873187	7.90E-08	4.52E-07	-
ADRA2C	0.0001	0.0001	0	1	1	-
ADRB1	0.036	0.028487667	0.337659447	0.894043656	0.937516232	-
ADRB2	32.395852	31.33613333	0.047981929	0.787557404	0.866392736	-
ADRB3	0.007256667	0.049105333	-2.758500817	0.107698959	0.191736783	-
ADRM1	130.854014	167.8156893	-0.358919421	1.22E-06	5.95E-06	-
ADSL	35.97244533	46.314499	-0.364571673	5.78E-07	2.94E-06	-
ADSS	75.09877	105.63576	-0.492237117	4.25E-15	5.31E-14	-
ADSSL1	63.48309667	35.89162467	0.822725274	8.21E-19	1.48E-17	-
ADTRP	0.0001	0.024931667	-7.961835519	0.341418986	1	-
AEBP1	0.764378333	0.705849333	0.114926618	0.960020901	0.976801254	-
AEBP2	17.89077267	15.31694833	0.224086805	0.193866297	0.307905295	-
AEN	40.24388367	31.26302	0.364312388	0.000612887	0.001942441	-
AES	221.417379	273.8329673	-0.306527683	8.76E-09	5.63E-08	-
AFAP1	48.805893	45.81149433	0.091345731	0.916444769	0.950655378	-
AFAP1L1	0.037080667	0.0001	8.534523372	0.116984946	0.205122369	-
AFAP1L2	5.160416333	6.003534333	-0.218324614	0.005460458	0.014183928	-
