id	Description	Significant	Annotated	Pvalue	Qvalue	Signi_id	Signi_symbol
ko04066	HIF-1 signaling pathway	5/185	93/6035	0.155985751	0.560093927	"IL6R(1.09981069263),MKNK2(1.00109003039),PRKCG(1.39222538185),SERPINE1(1.11662825218),SLC2A1(1.03151241193)"	"IL6R(1.09981069263),MKNK2(1.00109003039),PRKCG(1.39222538185),SERPINE1(1.11662825218),SLC2A1(1.03151241193)"
ko04920	Adipocytokine signaling pathway	4/185	69/6035	0.160565162	0.560093927	"JAK2(1.16750657076),NFKBIA(1.17865304471),PCK1(1.14395641789),SLC2A1(1.03151241193)"	"JAK2(1.16750657076),NFKBIA(1.17865304471),PCK1(1.14395641789),SLC2A1(1.03151241193)"
ko04918	Thyroid hormone synthesis	4/185	70/6035	0.166498421	0.560093927	"CREB5(1.30524183694),GPX3(1.47395316409),HSPA5(1.07766242291),PRKCG(1.39222538185)"	"CREB5(1.30524183694),GPX3(1.47395316409),HSPA5(1.07766242291),PRKCG(1.39222538185)"
ko00591	Linoleic acid metabolism	2/185	24/6035	0.166597157	0.560093927	"CYP2C33(4.75082889348),CYP3A22(1.19034391928)"	"CYP2C33(4.75082889348),CYP3A22(1.19034391928)"
ko04139	Regulation of mitophagy - yeast	2/185	24/6035	0.166597157	0.560093927	"GABARAPL1(1.71241442719),PIP5K1C(1.23299745223)"	"GABARAPL1(1.71241442719),PIP5K1C(1.23299745223)"
ko00460	Cyanoamino acid metabolism	1/185	6/6035	0.170459885	0.560093927	GGT5(2.33916889137)	GGT5(2.33916889137)
ko04933	AGE-RAGE signaling pathway in diabetic complications	5/185	96/6035	0.171028681	0.560093927	"COL1A1(1.29297876392),FN1(1.62392348378),JAK2(1.16750657076),PLCD3(1.0669030207),SERPINE1(1.11662825218)"	"COL1A1(1.29297876392),FN1(1.62392348378),JAK2(1.16750657076),PLCD3(1.0669030207),SERPINE1(1.11662825218)"
ko04621	NOD-like receptor signaling pathway	3/185	48/6035	0.181364246	0.584661057	"CCL5(2.09464524107),NFKBIA(1.17865304471),TNFAIP3(1.06419717467)"	"CCL5(2.09464524107),NFKBIA(1.17865304471),TNFAIP3(1.06419717467)"
ko04710	Circadian rhythm	2/185	26/6035	0.188771484	0.591240383	"CRY2(1.43341034877),NR1D1(1.69438723266)"	"CRY2(1.43341034877),NR1D1(1.69438723266)"
ko05134	Legionellosis	3/185	49/6035	0.189136592	0.591240383	"HSP70.2(1.30526719848),HSPA6(1.13880044068),NFKBIA(1.17865304471)"	"HSP70.2(1.30526719848),HSPA6(1.13880044068),NFKBIA(1.17865304471)"
ko05152	Tuberculosis	7/185	156/6035	0.201719913	0.621164224	"ATP6V0A1(1.23163951146),CD74(3.28927937988),JAK2(1.16750657076),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"ATP6V0A1(1.23163951146),CD74(3.28927937988),JAK2(1.16750657076),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04610	Complement and coagulation cascades	4/185	77/6035	0.21004206	0.631858193	"CD59(2.38932235122),PLAT(1.06444878853),PROC(2.36036860728),SERPINE1(1.11662825218)"	"CD59(2.38932235122),PLAT(1.06444878853),PROC(2.36036860728),SERPINE1(1.11662825218)"
