id	Description	Significant	Annotated	Pvalue	Qvalue	Signi_id	Signi_symbol
ko00680	Methane metabolism	2/82	25/6035	0.044712646	0.47766486	"PHGDH(-1.67754790362),PSAT1(-1.160806947)"	"PHGDH(-1.67754790362),PSAT1(-1.160806947)"
ko04212	Longevity regulating pathway - worm	3/82	59/6035	0.045628811	0.47766486	"MT-2B(-2.78313359396),MT1A(-1.54463335339),YWHAB(-1.1081852553)"	"MT-2B(-2.78313359396),MT1A(-1.54463335339),YWHAB(-1.1081852553)"
ko04390	Hippo signaling pathway	5/82	147/6035	0.048977406	0.47766486	"CTGF(-1.04367210087),NF2(-1.01556341299),PARD6G(-1.20408465754),PPP2R2B(-1.3242111515),YWHAB(-1.1081852553)"	"CTGF(-1.04367210087),NF2(-1.01556341299),PARD6G(-1.20408465754),PPP2R2B(-1.3242111515),YWHAB(-1.1081852553)"
ko00760	Nicotinate and nicotinamide metabolism	2/82	28/6035	0.054892938	0.47766486	"NT5C(-1.12982022),PNP(-1.001806572)"	"NT5C(-1.12982022),PNP(-1.001806572)"
ko05216	Thyroid cancer	2/82	28/6035	0.054892938	0.47766486	"TP53(-1.04246245874),TPM3(-1.16909279572)"	"TP53(-1.04246245874),TPM3(-1.16909279572)"
ko05143	African trypanosomiasis	2/82	31/6035	0.065800612	0.531282892	"IL18(-2.509957844),THOP1(-1.57724958895)"	"IL18(-2.509957844),THOP1(-1.57724958895)"
ko01230	Biosynthesis of amino acids	3/82	70/6035	0.069195312	0.531282892	"CBS(-1.01212958016),PHGDH(-1.67754790362),PSAT1(-1.160806947)"	"CBS(-1.01212958016),PHGDH(-1.67754790362),PSAT1(-1.160806947)"
ko03008	Ribosome biogenesis in eukaryotes	3/82	72/6035	0.073974104	0.5364204	"NOP56(-1.06860412215),PWP2(-1.23661772162),REXO2(-1.24599923322)"	"NOP56(-1.06860412215),PWP2(-1.23661772162),REXO2(-1.24599923322)"
ko04978	Mineral absorption	2/82	35/6035	0.08134945	0.558854948	"MT-2B(-2.78313359396),MT1A(-1.54463335339)"	"MT-2B(-2.78313359396),MT1A(-1.54463335339)"
ko00750	Vitamin B6 metabolism	1/82	7/6035	0.091365076	0.570646881	PSAT1(-1.160806947)	PSAT1(-1.160806947)
ko04540	Gap junction	3/82	79/6035	0.09180972	0.570646881	"TUBA1A(-1.19452850202),TUBA1B(-1.42175427814),TUBB6(-2.06869460662)"	"TUBA1A(-1.19452850202),TUBA1B(-1.42175427814),TUBB6(-2.06869460662)"
ko00565	Ether lipid metabolism	2/82	40/6035	0.102176617	0.606215337	"PLA2G7(-1.06447014615),TMEM86B(-3.09989245809)"	"PLA2G7(-1.06447014615),TMEM86B(-3.09989245809)"
ko00970	Aminoacyl-tRNA biosynthesis	2/82	42/6035	0.110880984	0.629255928	"MARS(-1.06187383983),VARS(-1.03978712618)"	"MARS(-1.06187383983),VARS(-1.03978712618)"
ko00920	Sulfur metabolism	1/82	9/6035	0.115919617	0.630440021	SUOX(-1.07630599194)	SUOX(-1.07630599194)
ko00280	"Valine, leucine and isoleucine degradation"	2/82	48/6035	0.138056041	0.675925609	"BCKDHB(-1.09815112841),MCCC1(-1.19310358065)"	"BCKDHB(-1.09815112841),MCCC1(-1.19310358065)"
ko01212	Fatty acid metabolism	2/82	48/6035	0.138056041	0.675925609	"ACADL(-1.37618238573),MECR(-1.16861946228)"	"ACADL(-1.37618238573),MECR(-1.16861946228)"
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	1/82	11/6035	0.139818483	0.675925609	NQO1(-1.25503480897)	NQO1(-1.25503480897)
ko00590	Arachidonic acid metabolism	2/82	52/6035	0.156904946	0.731436592	"CBR3(-2.30934131483),GPX8(-2.21726955943)"	"CBR3(-2.30934131483),GPX8(-2.21726955943)"
ko00450	Selenocompound metabolism	1/82	14/6035	0.174475106	0.785296305	MARS(-1.06187383983)	MARS(-1.06187383983)
ko01200	Carbon metabolism	3/82	109/6035	0.184284075	0.793631853	"DLAT(-1.10469284973),PHGDH(-1.67754790362),PSAT1(-1.160806947)"	"DLAT(-1.10469284973),PHGDH(-1.67754790362),PSAT1(-1.160806947)"
ko00230	Purine metabolism	4/82	166/6035	0.188487565	0.793631853	"APRT(-1.30060918264),NME1(-1.21867960398),NT5C(-1.12982022),PNP(-1.001806572)"	"APRT(-1.30060918264),NME1(-1.21867960398),NT5C(-1.12982022),PNP(-1.001806572)"
ko04722	Neurotrophin signaling pathway	3/82	114/6035	0.201598147	0.81127161	"ARHGDIB(-1.14439463712),NTF4(-1.333704442),TP53(-1.04246245874)"	"ARHGDIB(-1.14439463712),NTF4(-1.333704442),TP53(-1.04246245874)"
ko04071	Sphingolipid signaling pathway	3/82	115/6035	0.205107782	0.81127161	"GNA12(-1.77255687929),PPP2R2B(-1.3242111515),TP53(-1.04246245874)"	"GNA12(-1.77255687929),PPP2R2B(-1.3242111515),TP53(-1.04246245874)"
ko03040	Spliceosome	3/82	119/6035	0.219285991	0.831004711	"ALYREF(-1.20953394839),SNRPD1(-1.05163195192),SRSF3(-1.11270141232)"	"ALYREF(-1.20953394839),SNRPD1(-1.05163195192),SRSF3(-1.11270141232)"
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1/82	19/6035	0.229196461	0.831004711	B3GALT6(-1.08477210367)	B3GALT6(-1.08477210367)
ko04614	Renin-angiotensin system	1/82	19/6035	0.229196461	0.831004711	THOP1(-1.57724958895)	THOP1(-1.57724958895)
ko04210	Apoptosis	3/82	124/6035	0.237286982	0.837086365	"TP53(-1.04246245874),TUBA1A(-1.19452850202),TUBA1B(-1.42175427814)"	"TP53(-1.04246245874),TUBA1A(-1.19452850202),TUBA1B(-1.42175427814)"
ko00062	Fatty acid elongation	1/82	22/6035	0.260292793	0.846616559	MECR(-1.16861946228)	MECR(-1.16861946228)
ko00340	Histidine metabolism	1/82	23/6035	0.270380269	0.846616559	HNMT(-1.77119838674)	HNMT(-1.77119838674)
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1/82	23/6035	0.270380269	0.846616559	B3GALT6(-1.08477210367)	B3GALT6(-1.08477210367)
ko00983	Drug metabolism - other enzymes	1/82	23/6035	0.270380269	0.846616559	TK1(-1.35056787977)	TK1(-1.35056787977)
ko04145	Phagosome	3/82	134/6035	0.273996607	0.846616559	"TUBA1A(-1.19452850202),TUBA1B(-1.42175427814),TUBB6(-2.06869460662)"	"TUBA1A(-1.19452850202),TUBA1B(-1.42175427814),TUBB6(-2.06869460662)"
ko03013	RNA transport	3/82	140/6035	0.296328009	0.846616559	"ALYREF(-1.20953394839),ELAC2(-1.05498257448),GEMIN7(-1.06125991018)"	"ALYREF(-1.20953394839),ELAC2(-1.05498257448),GEMIN7(-1.06125991018)"
ko03015	mRNA surveillance pathway	2/82	81/6035	0.301643149	0.846616559	"ALYREF(-1.20953394839),PPP2R2B(-1.3242111515)"	"ALYREF(-1.20953394839),PPP2R2B(-1.3242111515)"
ko04392	Hippo signaling pathway - multiple species	1/82	27/6035	0.30938905	0.846616559	NF2(-1.01556341299)	NF2(-1.01556341299)
ko00980	Metabolism of xenobiotics by cytochrome P450	1/82	28/6035	0.318814832	0.846616559	CBR3(-2.30934131483)	CBR3(-2.30934131483)
ko00020	Citrate cycle (TCA cycle)	1/82	30/6035	0.337286789	0.846616559	DLAT(-1.10469284973)	DLAT(-1.10469284973)
ko00512	Mucin type O-glycan biosynthesis	1/82	30/6035	0.337286789	0.846616559	GALNT15(-1.72071219027)	GALNT15(-1.72071219027)
ko00640	Propanoate metabolism	1/82	30/6035	0.337286789	0.846616559	BCKDHB(-1.09815112841)	BCKDHB(-1.09815112841)
ko04130	SNARE interactions in vesicular transport	1/82	32/6035	0.355263781	0.846616559	VAMP4(-1.21437103004)	VAMP4(-1.21437103004)
ko05168	Herpes simplex infection	3/82	159/6035	0.367461439	0.846616559	"ALYREF(-1.20953394839),SRSF3(-1.11270141232),TP53(-1.04246245874)"	"ALYREF(-1.20953394839),SRSF3(-1.11270141232),TP53(-1.04246245874)"
ko05203	Viral carcinogenesis	3/82	160/6035	0.371192162	0.846616559	"RANBP1(-1.17888781239),TP53(-1.04246245874),YWHAB(-1.1081852553)"	"RANBP1(-1.17888781239),TP53(-1.04246245874),YWHAB(-1.1081852553)"
ko00620	Pyruvate metabolism	1/82	37/6035	0.398125931	0.846616559	DLAT(-1.10469284973)	DLAT(-1.10469284973)
ko04010	MAPK signaling pathway	4/82	236/6035	0.40011203	0.846616559	"GNA12(-1.77255687929),MAP3K13(-1.07011700003),NTF4(-1.333704442),TP53(-1.04246245874)"	"GNA12(-1.77255687929),MAP3K13(-1.07011700003),NTF4(-1.333704442),TP53(-1.04246245874)"
ko00480	Glutathione metabolism	1/82	38/6035	0.406354286	0.846616559	GPX8(-2.21726955943)	GPX8(-2.21726955943)
ko05219	Bladder cancer	1/82	38/6035	0.406354286	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko00071	Fatty acid degradation	1/82	39/6035	0.414471503	0.846616559	ACADL(-1.37618238573)	ACADL(-1.37618238573)
ko04114	Oocyte meiosis	2/82	106/6035	0.424311471	0.846616559	"PKMYT1(-1.20283180517),YWHAB(-1.1081852553)"	"PKMYT1(-1.20283180517),YWHAB(-1.1081852553)"
ko04962	Vasopressin-regulated water reabsorption	1/82	43/6035	0.445858351	0.846616559	ARHGDIB(-1.14439463712)	ARHGDIB(-1.14439463712)
ko05144	Malaria	1/82	45/6035	0.460922582	0.846616559	IL18(-2.509957844)	IL18(-2.509957844)
ko00330	Arginine and proline metabolism	1/82	46/6035	0.468302273	0.846616559	CKB(-1.10348802579)	CKB(-1.10348802579)
ko05322	Systemic lupus erythematosus	1/82	46/6035	0.468302273	0.846616559	SNRPD1(-1.05163195192)	SNRPD1(-1.05163195192)
ko05160	Hepatitis C	2/82	117/6035	0.474894675	0.846616559	"PPP2R2B(-1.3242111515),TP53(-1.04246245874)"	"PPP2R2B(-1.3242111515),TP53(-1.04246245874)"
ko05014	Amyotrophic lateral sclerosis (ALS)	1/82	47/6035	0.475582155	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04621	NOD-like receptor signaling pathway	1/82	48/6035	0.482763562	0.846616559	IL18(-2.509957844)	IL18(-2.509957844)
ko05134	Legionellosis	1/82	49/6035	0.489847809	0.846616559	IL18(-2.509957844)	IL18(-2.509957844)
ko05213	Endometrial cancer	1/82	49/6035	0.489847809	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko03010	Ribosome	2/82	123/6035	0.501360501	0.846616559	"MRPS7(-1.12065900169),RPS27L(-1.09262999436)"	"MRPS7(-1.12065900169),RPS27L(-1.09262999436)"
ko05223	Non-small cell lung cancer	1/82	51/6035	0.503730002	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04068	FoxO signaling pathway	2/82	124/6035	0.505689575	0.846616559	"PLK2(-1.07054751732),PRMT1(-1.07257111343)"	"PLK2(-1.07054751732),PRMT1(-1.07257111343)"
ko04623	Cytosolic DNA-sensing pathway	1/82	53/6035	0.517238917	0.846616559	IL18(-2.509957844)	IL18(-2.509957844)
ko04530	Tight junction	2/82	127/6035	0.518532955	0.846616559	"PARD6G(-1.20408465754),PPP2R2B(-1.3242111515)"	"PARD6G(-1.20408465754),PPP2R2B(-1.3242111515)"
ko05217	Basal cell carcinoma	1/82	54/6035	0.523856505	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04260	Cardiac muscle contraction	1/82	55/6035	0.530384471	0.846616559	TPM3(-1.16909279572)	TPM3(-1.16909279572)
ko01524	Platinum drug resistance	1/82	57/6035	0.54317632	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04730	Long-term depression	1/82	57/6035	0.54317632	0.846616559	GNA12(-1.77255687929)	GNA12(-1.77255687929)
ko05161	Hepatitis B	2/82	133/6035	0.543559988	0.846616559	"TP53(-1.04246245874),YWHAB(-1.1081852553)"	"TP53(-1.04246245874),YWHAB(-1.1081852553)"
ko05218	Melanoma	1/82	58/6035	0.549442553	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko05230	Central carbon metabolism in cancer	1/82	58/6035	0.549442553	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04213	Longevity regulating pathway - multiple species	1/82	59/6035	0.555623866	0.846616559	CRYAB(-1.14104735489)	CRYAB(-1.14104735489)
ko05210	Colorectal cancer	1/82	59/6035	0.555623866	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko05214	Glioma	1/82	59/6035	0.555623866	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko05321	Inflammatiory bowel disease (IBD)	1/82	59/6035	0.555623866	0.846616559	IL18(-2.509957844)	IL18(-2.509957844)
ko04261	Adrenergic signaling in cardiomyocytes	2/82	136/6035	0.555737554	0.846616559	"PPP2R2B(-1.3242111515),TPM3(-1.16909279572)"	"PPP2R2B(-1.3242111515),TPM3(-1.16909279572)"
ko00010	Glycolysis / Gluconeogenesis	1/82	60/6035	0.561721397	0.846616559	DLAT(-1.10469284973)	DLAT(-1.10469284973)
ko05212	Pancreatic cancer	1/82	60/6035	0.561721397	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04115	p53 signaling pathway	1/82	63/6035	0.579522435	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko05202	Transcriptional misregulation in cancers	2/82	143/6035	0.58326616	0.846616559	"FUS(-1.11534899348),TP53(-1.04246245874)"	"FUS(-1.11534899348),TP53(-1.04246245874)"
ko05220	Chronic myeloid leukemia	1/82	65/6035	0.590991054	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko03320	PPAR signaling pathway	1/82	70/6035	0.618328245	0.846616559	ACADL(-1.37618238573)	ACADL(-1.37618238573)
ko04918	Thyroid hormone synthesis	1/82	70/6035	0.618328245	0.846616559	GPX8(-2.21726955943)	GPX8(-2.21726955943)
ko03018	RNA degradation	1/82	75/6035	0.643859085	0.846616559	EXOSC5(-1.00952398154)	EXOSC5(-1.00952398154)
ko04141	Protein processing in endoplasmic reticulum	2/82	160/6035	0.644904483	0.846616559	"CRYAB(-1.14104735489),HSPBP1(-1.35158084547)"	"CRYAB(-1.14104735489),HSPBP1(-1.35158084547)"
ko05132	Salmonella infection	1/82	76/6035	0.64875901	0.846616559	IL18(-2.509957844)	IL18(-2.509957844)
ko04013	MAPK signaling pathway - fly	1/82	77/6035	0.653592331	0.846616559	YWHAB(-1.1081852553)	YWHAB(-1.1081852553)
ko04350	TGF-beta signaling pathway	1/82	77/6035	0.653592331	0.846616559	TFDP1(-1.04612040224)	TFDP1(-1.04612040224)
ko04610	Complement and coagulation cascades	1/82	77/6035	0.653592331	0.846616559	THBD(-4.43182178686)	THBD(-4.43182178686)
ko05222	Small cell lung cancer	1/82	78/6035	0.658359943	0.846616559	TP53(-1.04246245874)	TP53(-1.04246245874)
ko05410	Hypertrophic cardiomyopathy (HCM)	1/82	78/6035	0.658359943	0.846616559	TPM3(-1.16909279572)	TPM3(-1.16909279572)
ko04146	Peroxisome	1/82	80/6035	0.667701554	0.846616559	NUDT19(-1.12717802691)	NUDT19(-1.12717802691)
ko04914	Progesterone-mediated oocyte maturation	1/82	80/6035	0.667701554	0.846616559	PKMYT1(-1.20283180517)	PKMYT1(-1.20283180517)
ko05323	Rheumatoid arthritis	1/82	80/6035	0.667701554	0.846616559	IL18(-2.509957844)	IL18(-2.509957844)
ko05414	Dilated cardiomyopathy (DCM)	1/82	81/6035	0.672277284	0.846616559	TPM3(-1.16909279572)	TPM3(-1.16909279572)
ko05016	Huntington's disease	2/82	169/6035	0.674562226	0.846616559	"NDUFA5(-1.11610658517),TP53(-1.04246245874)"	"NDUFA5(-1.11610658517),TP53(-1.04246245874)"
ko05215	Prostate cancer	1/82	83/6035	0.681242832	0.846858258	TP53(-1.04246245874)	TP53(-1.04246245874)
ko01522	Endocrine resistance	1/82	85/6035	0.689966019	0.849610589	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04211	Longevity regulating pathway - mammal	1/82	87/6035	0.698453317	0.852023721	TP53(-1.04246245874)	TP53(-1.04246245874)
ko05169	Epstein-Barr virus infection	2/82	183/6035	0.716725964	0.866218515	"TP53(-1.04246245874),YWHAB(-1.1081852553)"	"TP53(-1.04246245874),YWHAB(-1.1081852553)"
ko04922	Glucagon signaling pathway	1/82	94/6035	0.726390736	0.869845015	PRMT1(-1.07257111343)	PRMT1(-1.07257111343)
ko04933	AGE-RAGE signaling pathway in diabetic complications	1/82	96/6035	0.733892163	0.870838547	THBD(-4.43182178686)	THBD(-4.43182178686)
ko05142	Chagas disease (American trypanosomiasis)	1/82	98/6035	0.741190366	0.871575205	PPP2R2B(-1.3242111515)	PPP2R2B(-1.3242111515)
ko04919	Thyroid hormone signaling pathway	1/82	106/6035	0.768457599	0.88384192	TP53(-1.04246245874)	TP53(-1.04246245874)
ko00190	Oxidative phosphorylation	1/82	112/6035	0.787026791	0.88384192	NDUFA5(-1.11610658517)	NDUFA5(-1.11610658517)
ko04151	PI3K-Akt signaling pathway	3/82	308/6035	0.797303201	0.88384192	"PPP2R2B(-1.3242111515),TP53(-1.04246245874),YWHAB(-1.1081852553)"	"PPP2R2B(-1.3242111515),TP53(-1.04246245874),YWHAB(-1.1081852553)"
ko04152	AMPK signaling pathway	1/82	116/6035	0.798580881	0.88384192	PPP2R2B(-1.3242111515)	PPP2R2B(-1.3242111515)
ko05162	Measles	1/82	116/6035	0.798580881	0.88384192	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04270	Vascular smooth muscle contraction	1/82	122/6035	0.814760611	0.88384192	GNA12(-1.77255687929)	GNA12(-1.77255687929)
ko05012	Parkinson's disease	1/82	123/6035	0.817329464	0.88384192	NDUFA5(-1.11610658517)	NDUFA5(-1.11610658517)
ko04728	Dopaminergic synapse	1/82	125/6035	0.82236206	0.88384192	PPP2R2B(-1.3242111515)	PPP2R2B(-1.3242111515)
ko04120	Ubiquitin mediated proteolysis	1/82	128/6035	0.829655227	0.88384192	UBE2QL1(-2.64020347589)	UBE2QL1(-2.64020347589)
ko04932	Non-alcoholic fatty liver disease (NAFLD)	1/82	130/6035	0.834352192	0.88384192	NDUFA5(-1.11610658517)	NDUFA5(-1.11610658517)
ko05224	Breast cancer	1/82	130/6035	0.834352192	0.88384192	TP53(-1.04246245874)	TP53(-1.04246245874)
ko05206	MicroRNAs in cancer	2/82	236/6035	0.837253257	0.88384192	"DNMT1(-1.03878475039),TP53(-1.04246245874)"	"DNMT1(-1.03878475039),TP53(-1.04246245874)"
ko04072	Phospholipase D signaling pathway	1/82	134/6035	0.843365642	0.88384192	GNA12(-1.77255687929)	GNA12(-1.77255687929)
ko05166	HTLV-I infection	2/82	243/6035	0.849186515	0.88384192	"RANBP1(-1.17888781239),TP53(-1.04246245874)"	"RANBP1(-1.17888781239),TP53(-1.04246245874)"
ko04144	Endocytosis	2/82	248/6035	0.857224168	0.88384192	"EHD3(-1.07214279075),PARD6G(-1.20408465754)"	"EHD3(-1.07214279075),PARD6G(-1.20408465754)"
ko05164	Influenza A	1/82	142/6035	0.859963932	0.88384192	IL18(-2.509957844)	IL18(-2.509957844)
ko05010	Alzheimer's disease	1/82	149/6035	0.873053979	0.889512385	NDUFA5(-1.11610658517)	NDUFA5(-1.11610658517)
ko05152	Tuberculosis	1/82	156/6035	0.884933949	0.889512385	IL18(-2.509957844)	IL18(-2.509957844)
ko05200	Pathways in cancer	3/82	370/6035	0.887086938	0.889512385	"GNA12(-1.77255687929),TP53(-1.04246245874),TPM3(-1.16909279572)"	"GNA12(-1.77255687929),TP53(-1.04246245874),TPM3(-1.16909279572)"
ko04022	cGMP - PKG signaling pathway	1/82	161/6035	0.892740454	0.889512385	GNA12(-1.77255687929)	GNA12(-1.77255687929)
ko04360	Axon guidance	1/82	172/6035	0.908120413	0.896905802	PARD6G(-1.20408465754)	PARD6G(-1.20408465754)
ko04510	Focal adhesion	1/82	190/6035	0.92872236	0.896905802	PARVB(-1.49380508863)	PARVB(-1.49380508863)
ko04810	Regulation of actin cytoskeleton	1/82	193/6035	0.931680851	0.896905802	GNA12(-1.77255687929)	GNA12(-1.77255687929)
ko05205	Proteoglycans in cancer	1/82	193/6035	0.931680851	0.896905802	TP53(-1.04246245874)	TP53(-1.04246245874)
ko04015	Rap1 signaling pathway	1/82	196/6035	0.93451798	0.896905802	PARD6G(-1.20408465754)	PARD6G(-1.20408465754)
ko04060	Cytokine-cytokine receptor interaction	1/82	218/6035	0.952054558	0.907066963	IL18(-2.509957844)	IL18(-2.509957844)
